房号	房间物理号	房间类型	床位数量
101	010100008700	DAY A	1
102	010100008800	DAY A	1
103	010100008900	DAY A	1
104	010100008A00	DAY A	1
105	010100008B00	DAY A	1
106	010100008C00	DAY A	1
107	010100008D00	DAY A	1
201	010100000100	DAY A	1
202	010100000200	DAY A	1
203	010100000300	DAY A	1
204	010100000400	DAY A	1
205	010100000500	DAY A	1
206	010100000600	DAY A	1
207	010100000700	DAY A	1
208	010100000800	DAY A	1
301	010100001900	DAY A	1
302	010100001A00	DAY A	1
303	010100001B00	DAY A	1
304	010100001C00	DAY A	1
305	010100001D00	DAY A	1
306	010100001E00	DAY A	1
307	010100001F00	DAY A	1
308	010100002000	DAY A	1
401	010100002100	DAY A	1
402	010100002200	DAY A	1
403	010100002300	DAY A	1
404	010100002400	DAY A	1
405	010100002500	DAY A	1
406	010100002600	DAY A	1
407	010100002700	DAY A	1
408	010100002800	DAY A	1
501	010100002900	DAY A	1
502	010100002A00	DAY A	1
503	010100009000	DAY A	1
504	010100009100	DAY A	1
505	010100009200	DAY A	1
506	010100002E00	DAY A	1
507	010100002F00	DAY A	1
508	010100003000	DAY A	1
509	010100003F00	DAY B	2
510	010100004000	DAY B	2
511	010100004100	DAY B	2
512	010100004200	DAY B	2
513	010100004300	DAY B	2
514	010100004400	DAY B	2
515	010100004500	DAY B	2
516	010100004600	DAY B	2
517	010100004700	DAY B	2
518	010100004800	DAY B	2
519	010100004900	DAY B	2
520	010100004A00	DAY B	2
521	010100004B00	DAY B	2
522	010100004C00	DAY B	2
523	010100004D00	DAY B	2
524	010100004E00	DAY B	2
525	010100004F00	DAY B	2
526	010100005000	DAY B	2
528	010100005200	DAY B	2
530	010100005400	DAY B	2
532	010100005600	DAY B	2
601	010100003100	DAY A	1
602	010100003200	DAY A	1
603	010100003300	DAY A	1
604	010100003400	DAY A	1
605	010100003500	DAY A	1
606	010100003600	DAY A	1
607	010100003700	DAY A	1
608	010100003800	DAY A	1
609	010100005700	DAY B	2
610	010100005800	DAY B	2
611	010100005900	DAY B	2
612	010100005A00	DAY B	2
613	010100005B00	DAY B	2
614	010100005C00	DAY B	2
615	010100005D00	DAY B	2
616	010100005E00	DAY B	2
617	010100005F00	DAY B	2
618	010100006000	DAY B	2
619	010100006100	DAY B	2
620	010100006200	DAY B	2
621	010100006300	DAY B	2
622	010100006400	DAY B	2
623	010100006500	DAY B	2
624	010100006600	DAY B	2
625	010100006700	DAY B	2
626	010100006800	DAY B	2
627	010100006900	DAY B	2
628	010100006A00	DAY B	2
630	020100009500	DAY B	2
632	010100006E00	DAY B	2
701	010100003900	DAY A	1
702	010100003A00	DAY A	1
703	010100003B00	DAY A	1
704	010100003C00	DAY A	1
705	010100003D00	DAY A	1
706	010100003E00	DAY A	1
709	010100006F00	DAY B	2
710	010100007000	DAY B	2
711	010100007100	DAY B	2
712	010100007200	DAY B	2
714	010100007400	DAY B	2
715	010100007500	DAY B	2
716	010100007600	DAY B	2
718	010100007800	DAY B	2
719	010100007900	DAY B	2
720	010100007A00	DAY B	2
721	010100007B00	DAY B	2
722	010100007C00	DAY B	2
723	010100007D00	DAY B	2
724	010100007E00	DAY B	2
725	010100007F00	DAY B	2
726	010100008000	DAY B	2
727	010100008100	DAY B	2
728	010100008200	DAY B	2
730	010100008400	DAY B	2
732	010100008600	DAY B	2
